@relation 'selecteddata2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,18'

@attribute ecage26 numeric
@attribute ecsex99 {1,2}
@attribute marst26 {1,2,3,4,5,6}
@attribute mjacg26 {1,2,3,4}
@attribute immst15 {1,2,7}
@attribute pvreg25 {10,11,12,13,24,35,46,47,48,59}
@attribute dwtenr25 {1,2}
@attribute mortg25 {1,2}
@attribute multj28 {1,2}
@attribute alhrp28 numeric
@attribute mtlswk28 numeric
@attribute yrxfte11 numeric
@attribute clwkr1 {1,2,3,4,5,6}
@attribute prmjb1 {1,2,8,9}
@attribute fllprt1 {1,2,9}
@attribute nocg2e6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,99}
@attribute imphwe1 numeric
@attribute uncoll1 {1,2,3}
@attribute n07c3g10 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,99}
@attribute pubpv10 {1,2,9}
@attribute cqpc42 numeric
@attribute rppc42 numeric
@attribute udpd42 numeric
@attribute wgsal42 numeric
@attribute hleveg18 {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute penpln1 {1,2}

@data
21,2,6,1,7,10,1,1,2,2346,999,3,1,1,1,8,13.88,1,12,1,1700,1650,600,36000,9,1
53,2,6,1,7,10,1,2,2,1955,999,30,1,9,1,2,48.64,1,11,1,2200,2200,0,95000,12,1
26,2,6,1,7,10,1,1,2,1825,999,19.331132,1,1,1,11,22,1,13,2,2200,0,1000,50000,10,1
49,1,1,1,7,10,1,1,2,1304,999,19.331132,1,1,2,10,48.92,1,11,1,2200,8250,1050,85000,12,1
44,2,1,1,7,10,1,1,2,1955,999,19.331132,1,1,1,5,22.75,3,8,2,2400,0,0,87500,12,1
39,1,1,1,7,10,1,1,2,2086,999,17,1,1,1,15,36,1,16,1,2400,5500,1000,75000,6,1
37,2,1,1,7,10,1,1,2,2086,999,15,1,1,1,13,20.4,3,6,2,2300,1350,0,52500,9,1
46,2,1,1,7,10,1,1,2,2040,999,28,1,1,1,4,19.2,3,8,2,2000,0,0,47000,8,1
52,1,1,1,7,10,1,1,2,2607,999,34,1,1,1,99,8.66,3,8,2,2300,0,0,270000,9,1
23,2,6,1,7,10,1,1,2,1972,999,3,1,1,1,5,10,1,6,2,700,0,0,17500,8,2
35,2,1,1,7,10,1,1,2,1825,999,11,1,1,1,10,32.91,1,11,1,2100,4800,675,50000,12,1
44,1,1,1,7,10,1,1,2,1955,999,22,1,1,1,2,41.68,3,13,2,2200,0,0,87500,12,2
53,2,4,1,7,10,2,1,2,1043,999,32,6,9,2,7,999.99,3,12,2,1850,0,0,42000,11,2
28,2,6,1,7,10,1,1,2,1929,999,19.331132,1,2,1,7,32,1,12,1,2300,4400,825,72500,11,1
53,1,1,1,7,35,1,2,2,2086,999,29,1,1,1,6,120,3,4,2,2300,13000,325,430000,12,1
45,2,1,1,7,35,1,2,1,2503,999,22,6,9,1,99,999.99,3,12,2,2100,0,0,65000,12,2
55,2,1,1,7,10,1,2,2,2086,999,32,1,1,1,5,34.56,3,2,2,2100,1650,0,70000,9,1
55,1,1,1,7,10,1,2,2,2086,999,33,1,1,1,99,78.3,3,2,2,2100,13500,0,220000,11,1
26,2,2,1,2,59,2,1,2,1932,999,2,1,1,1,5,19.46,3,8,2,2100,0,0,48000,9,2
31,1,6,1,7,10,1,2,2,88,999,19.331132,1,1,9,21,25.57,3,2,2,0,675,0,1950,9,1
47,1,4,1,7,10,1,1,2,2346,999,23,1,1,1,19,21.75,3,4,2,1750,0,0,39000,7,2
47,2,1,1,7,10,1,1,2,1825,999,24,1,1,1,4,13.5,3,8,2,875,0,0,22000,9,2
49,1,1,1,7,10,1,1,2,2033,999,28,1,1,1,21,23,3,4,2,1400,0,0,33000,4,2
47,2,1,1,7,10,1,2,2,1825,999,28,1,1,1,4,21.43,3,15,2,1900,0,0,43000,9,2
47,1,1,1,7,10,1,2,2,2190,999,17,1,1,1,6,45.71,1,16,1,2200,5750,1100,100000,11,1
43,2,2,1,7,10,1,1,2,1024,999,13,1,2,1,17,10,3,13,2,325,0,0,9750,9,2
44,1,1,1,7,10,1,1,2,2086,999,10,1,1,1,21,22,3,4,2,2400,0,0,48000,3,2
48,1,1,1,7,10,1,1,2,2031,999,19.331132,1,1,9,3,51.2,3,6,2,2200,5250,975,125000,9,1
49,2,1,1,7,10,1,1,2,1173,999,28,1,1,2,7,34.13,1,12,1,2100,2100,1500,60000,10,1
55,2,1,1,7,10,1,1,2,330,999,19.331132,1,1,2,13,13.96,3,6,2,425,0,0,12500,12,2
38,1,3,1,7,10,1,1,2,2086,999,19.331132,1,1,1,2,62.4,3,4,2,2300,0,0,125000,9,2
33,2,3,1,7,10,1,1,2,2086,999,19.331132,1,1,1,5,19.68,3,2,2,2100,0,0,48000,9,1
47,1,1,1,7,10,1,1,2,2086,999,20,1,1,1,3,24,3,8,2,2300,0,0,57500,9,1
52,2,1,1,7,10,1,1,2,1825,999,29,1,1,1,8,36.75,1,12,1,2300,5250,800,67500,11,1
33,1,1,1,7,10,1,1,2,1955,999,13,1,1,1,6,38.4,1,16,1,2300,4900,675,77500,9,1
41,2,4,1,7,10,1,1,2,2086,999,17,1,1,1,10,26.4,1,11,1,2100,9000,900,75000,12,1
31,2,1,1,7,10,1,1,2,2089,999,10,1,1,1,5,24.96,3,2,2,2200,0,0,50000,9,1
34,1,1,1,7,10,1,1,2,1564,999,1,1,1,1,22,38.4,1,7,2,2200,3300,1400,57500,6,1
62,2,5,1,7,10,1,2,2,2346,999,13,6,9,1,9,999.99,3,12,2,0,0,0,0,5,2
23,1,6,1,7,12,2,1,2,2216,999,2,1,2,1,21,25.3,3,16,1,2900,3100,0,62500,8,1
55,1,1,1,7,10,1,1,2,1825,999,34,1,1,1,10,31.2,1,11,1,2100,4400,825,52500,9,1
53,2,1,1,7,10,1,1,1,1915,999,37,1,1,1,2,20,3,14,2,2000,0,0,45000,6,2
26,1,6,1,7,10,1,1,2,2086,999,3,1,1,1,15,40,1,16,1,2400,5250,1100,72500,10,1
42,2,1,1,7,35,1,1,2,1825,999,13,1,1,1,99,65.28,3,16,1,2200,9000,0,110000,12,1
44,1,1,1,7,35,1,1,2,2086,999,19,1,1,1,99,115.2,3,8,2,2100,0,0,420000,12,1
36,1,4,1,7,10,1,1,2,2086,999,19.331132,1,1,1,2,21.6,3,6,2,2200,0,0,45000,9,1
31,1,1,1,7,10,1,1,2,1095,999,19.331132,1,1,1,99,100.57,3,2,2,2200,0,0,135000,4,1
46,2,1,1,7,10,1,1,2,1955,999,26,1,1,1,3,28.77,3,8,2,2100,0,0,65000,9,1
48,1,1,1,7,10,1,1,1,2023,999,26,1,1,1,6,40.96,1,16,1,2200,4500,1150,72500,9,1
49,2,1,1,7,10,1,1,2,1825,999,21,1,1,1,2,24.69,3,12,1,2200,0,0,46000,11,2
49,1,1,1,7,10,1,1,2,1955,999,25,1,1,1,6,48.64,1,16,1,2200,5500,600,92500,11,1
21,1,6,1,7,10,1,1,2,742,999,19.331132,1,2,1,99,13,3,6,2,50,0,0,5250,5,2
47,1,1,1,7,10,2,1,2,2086,999,26,1,1,1,15,40.8,1,16,1,2200,7750,1100,115000,9,1
42,2,1,1,7,10,2,1,2,2086,999,23,1,1,1,99,39.36,1,16,1,2300,7250,1100,115000,9,1
28,2,6,1,7,10,1,2,2,1757,999,19.331132,1,1,9,5,12,3,8,2,1050,0,0,26000,8,1
43,1,1,1,7,10,1,1,2,1825,999,19.331132,1,1,1,15,31.82,1,16,1,2200,1750,575,55000,11,1
48,2,1,1,7,10,1,1,2,2086,999,29,1,9,1,3,45.13,1,15,2,2100,5250,1300,80000,9,1
37,2,1,1,7,10,1,1,2,1825,999,14,1,1,1,12,31.27,3,99,2,2200,0,0,90000,11,1
38,1,1,1,7,10,1,1,2,3129,999,18,6,9,1,2,999.99,3,6,2,425,0,0,0,8,2
40,1,1,1,7,10,1,1,1,1344.26572,999,19.331132,1,1,1,23,12,3,10,2,3800,0,0,34000,9,2
40,2,1,1,7,10,1,1,2,2086,999,18,1,1,1,4,16.32,3,5,2,2000,0,0,45000,8,1
25,2,6,1,7,10,1,1,2,166,11,9,1,1,1,5,19.51,3,8,2,50,0,0,4500,9,2
49,2,1,1,7,10,1,1,2,1669,999,31,1,1,1,13,14,3,6,2,1050,0,0,25000,9,1
45,1,1,1,7,10,1,1,2,2086,999,30,1,1,1,24,15.5,3,5,2,1750,0,0,40000,6,1
35,2,6,1,7,10,1,2,2,921,999,15,1,2,1,5,23,1,7,1,725,25,725,19000,9,2
60,1,1,1,7,35,1,2,2,2086,999,37,1,1,1,99,62.4,3,99,2,2300,1100,0,420000,8,1
57,1,1,1,7,10,1,2,2,2346,999,27,3,9,1,2,999.99,3,4,2,2100,0,0,55000,9,2
54,2,1,1,7,10,1,2,2,2086,999,21,3,9,1,2,999.99,3,4,2,1850,0,0,41000,11,2
27,2,2,1,7,10,1,1,2,1955,999,4,1,9,1,9,30,1,12,1,2300,3800,0,55000,11,1
55,1,1,1,7,10,1,2,2,3285,999,19.331132,1,1,1,20,36.57,1,2,1,2300,0,2900,135000,9,2
