@relation selecteddata2_post1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R4

@attribute ecage26 numeric
@attribute ecsex99 {1,2}
@attribute marst26 {1,2,3,4,5,6}
@attribute pvreg25 {10,11,12,13,24,35,46,47,48,59}
@attribute dwtenr25 {1,2}
@attribute mortg25 {1,2}
@attribute multj28 {1,2}
@attribute alhrp28 numeric
@attribute yrxfte11 numeric
@attribute clwkr1 {1,2,3,4,5,6}
@attribute prmjb1 {1,2,8,9}
@attribute fllprt1 {1,2,9}
@attribute nocg2e6 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,99}
@attribute imphwe1 numeric
@attribute uncoll1 {1,2,3}
@attribute n07c3g10 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,99}
@attribute pubpv10 {1,2,9}
@attribute cqpc42 numeric
@attribute rppc42 numeric
@attribute udpd42 numeric
@attribute wgsal42 numeric
@attribute hleveg18 {1,2,3,4,5,6,7,8,9,10,11,12}

@data
35,2,1,24,1,1,2,2086,9,1,1,1,5,24.5,1,5,2,1950,1650,475,43000,9
50,1,1,24,1,1,2,2086,33,1,1,1,24,27.72,1,5,2,2200,2900,800,95000,6
21,1,6,24,2,1,2,2038,5,1,2,1,19,30,1,4,2,2100,3000,1750,75000,9
45,1,2,24,1,1,2,2086,24,1,1,1,24,39.36,1,5,2,2100,2800,825,80000,9
34,1,6,24,2,1,2,1955,10,1,1,1,4,30.72,1,16,1,2200,3700,900,57500,11
62,2,5,24,2,1,2,1955,35,1,1,1,5,24.89,1,16,1,0,2700,700,50000,6
40,2,6,24,1,1,2,1825,18,1,1,1,9,39.5,1,12,1,2100,4700,550,67500,11
38,1,1,24,1,1,2,2031,19.331132,1,1,9,6,59.08,3,16,1,2200,4000,0,120000,6
42,2,3,24,1,1,2,1825,26,1,1,1,4,21.43,1,11,1,2300,5000,800,62500,6
51,2,6,24,2,1,2,1406,24,1,1,1,13,12,3,6,2,0,0,0,6750,4
59,1,4,24,2,1,2,2086,41,1,1,1,13,23.04,3,6,2,2200,1450,0,47000,8
58,1,4,24,2,1,2,2086,42,1,1,1,21,24,1,7,2,2300,0,1350,77500,6
31,1,1,24,1,1,2,1955,10,1,1,1,12,33.28,3,8,2,2100,0,0,72500,9
29,2,1,24,1,1,2,1955,7,1,1,1,2,44.03,1,16,1,2200,5750,525,82500,11
51,1,6,24,1,1,2,2086,34,1,1,1,21,21.5,1,16,1,2100,3800,1050,60000,3
51,2,6,24,1,1,2,1495,31,1,1,1,5,16.9,1,7,1,1150,2200,450,25000,4
51,2,1,24,1,1,2,1564,23,1,9,1,11,29.95,1,11,1,1500,1300,500,36000,9
25,1,2,24,1,1,2,1773,7,1,1,1,5,28.06,1,16,1,2100,3200,675,57500,9
39,2,6,24,2,1,2,1825,19.331132,1,1,1,5,21.94,3,8,2,1800,1200,0,39000,8
49,1,4,24,1,1,2,1825,30,1,1,1,17,30.17,1,16,1,2200,3100,475,57500,6
40,2,2,24,2,1,1,3582,19.331132,1,1,1,9,39,1,12,1,2100,4600,1150,77500,11
54,2,1,24,1,1,2,1955,34,1,1,1,5,29.18,1,16,1,2200,3400,875,80000,5
60,1,1,24,1,1,2,1955,40,1,1,1,6,39.42,1,16,1,2100,5500,725,77500,9
22,1,6,24,1,1,2,2040,2,1,1,1,24,27,1,5,2,2100,2100,700,45000,9
55,1,1,24,1,1,2,2086,3,1,1,1,14,26.4,1,16,1,2400,6500,775,70000,9
44,2,1,24,1,1,2,1669,15,1,1,1,14,17.78,1,12,2,1300,1500,575,31000,7
45,1,1,24,1,1,2,1955,23,1,1,1,5,25.3,1,13,1,2200,2700,875,57500,7
33,2,2,24,1,2,2,2086,11,1,1,1,99,36,1,16,1,2300,7500,1750,55000,9
43,2,1,24,1,1,2,1669,15,1,9,1,14,17.78,1,12,2,1450,0,0,31000,7
40,1,1,24,1,1,2,1955,10,1,9,1,3,28.16,3,9,2,2300,0,0,62500,8
38,2,2,24,1,2,2,1825,14,1,1,1,3,60.34,2,16,1,2200,7000,0,105000,11
60,2,4,24,1,2,2,1825,19.331132,1,1,1,10,28.98,1,11,1,2200,4200,975,70000,11
49,1,2,24,1,1,2,1955,19.331132,1,1,1,20,48.64,1,4,2,2200,0,475,80000,9
62,2,1,24,1,1,2,1955,30,1,1,1,5,22.01,1,16,1,2200,2400,725,52500,6
59,2,1,24,1,2,2,1695,36,1,1,1,5,17.72,3,8,2,1350,1900,0,30000,6
35,1,1,24,1,1,2,1695,8,1,1,1,10,44.31,1,11,1,2200,5250,1350,77500,12
37,2,1,24,1,1,2,1695,7,1,1,1,10,44.31,1,11,1,2100,5100,1300,75000,12
25,1,2,24,2,1,2,1955,4,1,9,1,6,34.8,1,16,1,525,0,0,16000,6
46,2,4,24,1,1,2,1955,27,1,1,1,5,30.21,1,16,1,2100,4700,825,75000,8
29,1,6,24,2,1,2,2086,6,1,9,1,6,31.44,1,9,2,2100,1500,0,62500,11
23,1,6,24,2,1,2,2086,5,1,9,1,21,21.12,3,16,1,2200,1500,800,52500,7
30,1,6,24,1,1,2,1955,4,1,1,1,15,29.18,1,13,1,2200,3400,900,55000,9
36,2,1,24,1,1,2,1955,15,1,1,1,4,13.33,1,16,1,2100,3500,1000,57500,11
37,1,2,24,1,1,2,1564,13,1,1,1,8,18.33,1,12,1,1850,0,550,41000,6
30,1,6,24,1,2,2,1955,7,1,1,1,6,35.84,1,16,1,2300,4800,725,72500,11
30,2,6,24,1,2,2,1825,3,1,1,1,9,23.04,1,12,2,1850,2200,525,43000,12
52,2,6,24,1,1,2,1825,24,1,1,1,9,39.94,1,12,2,2300,6250,1550,70000,12
47,1,4,24,1,1,2,1955,20,1,1,1,3,39.94,1,16,1,2300,6000,575,80000,12
62,1,6,24,2,1,2,1955,35,1,1,1,6,33.99,1,16,1,2100,4200,675,65000,9
46,1,1,24,1,1,2,1955,21,1,1,1,2,43.01,1,16,1,2200,6000,750,82500,11
60,1,1,24,2,1,2,2086,44,1,1,1,22,16.13,1,5,2,2100,2300,1250,75000,3
26,2,6,24,2,1,2,2086,3,1,1,1,3,21.6,3,6,2,2100,0,600,47000,9
52,2,6,24,1,1,2,2023,32,1,1,1,11,31,1,13,1,2300,3700,1100,70000,9
56,2,1,24,1,1,2,1955,35,1,1,1,2,46.08,1,16,1,2200,4400,675,105000,9
36,1,6,24,2,1,2,2086,13,1,9,1,6,36,1,5,2,2100,0,3200,70000,9
31,1,2,24,1,1,2,1767,15,1,1,1,5,16.38,1,16,1,2200,3300,675,60000,7
41,2,1,24,1,1,2,1955,19,1,1,1,2,67.58,3,16,1,2200,11000,0,140000,11
47,1,1,24,1,1,2,1929,29,1,1,1,5,14.85,3,6,2,1250,0,0,30000,6
34,1,1,24,1,1,1,2112,11,1,1,1,10,41.35,1,11,1,2200,5250,1400,87500,9
46,1,2,24,1,2,2,2023,19.331132,1,1,1,21,21.72,1,7,1,2100,2100,525,52500,7
43,2,1,24,1,1,2,1955,23,1,1,1,5,28.93,1,16,1,2200,4100,925,70000,9
39,1,1,24,1,1,2,1955,17,1,1,1,5,31.74,1,16,1,2200,3100,800,65000,7
27,2,2,24,1,1,2,917,9,1,1,1,9,19.25,3,12,2,575,875,0,16500,9
30,1,2,24,1,1,2,2086,12,1,1,1,20,24,1,3,1,2300,4200,1150,62500,6
30,2,1,24,1,1,2,1955,12,1,1,1,3,22.53,1,16,1,2100,1350,250,47000,9
37,1,1,24,1,1,2,2065,13,1,1,1,5,18.24,1,16,1,2200,2400,375,52500,9
26,2,6,24,1,1,2,1825,6,1,1,1,5,18.1,3,8,2,1550,2200,0,36000,9
33,2,2,24,1,1,2,1955,8,1,1,1,4,39.94,2,16,1,2200,7000,150,90000,9
33,1,2,24,1,1,2,1955,16,1,1,1,6,25.6,2,13,2,2100,2000,0,57500,9
32,2,2,24,1,1,2,1955,12,1,1,1,15,30.21,1,16,1,2200,3400,800,67500,9
41,2,3,24,2,1,2,1825,20,1,1,1,5,26.33,3,8,2,2200,1350,0,49000,7
28,1,6,24,2,1,2,1877,9,1,1,1,25,16,1,5,2,1400,900,600,33000,6
33,2,2,24,1,1,2,1773,15,1,1,1,9,20.32,3,12,2,1650,1750,0,37000,9
57,1,4,24,1,1,2,1903,19.331132,1,1,1,8,18.94,1,12,1,2200,4300,0,52500,4
50,1,1,35,1,1,2,2086,29,1,9,1,15,28,1,11,1,2100,5750,0,70000,9
52,1,1,35,2,1,2,1955,35,1,1,1,9,66.56,3,16,1,2200,8750,0,135000,12
54,2,4,24,2,1,2,1762,31,1,1,1,6,29.7,1,16,1,0,4000,425,57500,10
37,2,2,24,1,1,2,1564,10,1,9,1,11,38.4,1,16,1,1950,925,250,42000,9
38,1,2,24,1,1,2,1825,14,1,9,1,5,25,1,12,1,2100,7000,0,75000,9
47,1,4,24,2,1,2,2607,30,1,1,1,18,21.12,3,4,2,2200,0,0,55000,3
42,2,4,24,1,1,2,1695,22,1,1,1,10,50.81,1,11,1,2200,10500,1500,85000,11
38,1,2,24,1,1,2,1955,17,1,1,1,2,58.88,3,16,1,2200,7750,0,110000,9
52,2,2,24,1,1,2,1955,29,1,1,1,3,31.74,1,16,1,2200,2800,0,50000,11
51,2,2,24,1,1,2,1955,23,1,1,1,3,48.13,1,16,1,2100,6500,1350,92500,11
52,2,2,24,1,1,2,1945,31,1,9,1,6,42.72,1,16,1,2400,5500,1100,82500,9
54,1,2,24,1,1,2,1825,27,1,9,1,11,24.69,3,13,2,2100,0,0,45000,3
55,2,1,24,1,1,2,2086,32,1,1,1,6,40.8,1,7,1,2300,7000,1450,95000,10
31,2,2,24,1,1,2,1955,11,1,1,1,3,38.91,1,16,1,2100,7250,400,65000,11
32,1,2,24,1,1,2,1955,12,1,1,1,5,26.37,1,16,1,2200,3000,725,52500,9
53,1,1,24,1,1,2,2007,25,1,1,1,99,80.14,3,16,1,2100,12500,0,170000,12
48,2,4,24,1,1,1,2476,24,1,1,1,2,32.77,1,16,1,2200,4300,825,65000,10
24,1,6,24,1,1,2,2086,5,1,2,1,15,32.64,1,16,1,2100,4700,1900,77500,9
52,1,1,24,1,1,2,1955,24,1,1,1,6,43.52,1,16,1,2300,6500,675,90000,12
43,2,1,24,1,2,2,1955,18,1,1,1,9,58.88,3,16,1,2200,8500,150,110000,12
47,1,1,24,1,2,2,1955,30,1,1,1,3,56.42,3,16,1,2100,8250,850,115000,12
49,1,1,24,1,1,2,1955,33,1,1,1,6,46.08,1,16,1,2200,6250,0,95000,11
45,2,1,24,1,2,2,2086,28,1,1,1,6,29.23,3,16,1,2200,3800,0,60000,7
50,1,1,24,1,2,2,2086,32,1,1,1,20,25.92,1,16,1,2200,4100,1150,55000,9
56,1,3,24,1,1,2,1955,40,1,1,1,5,28.57,1,16,1,2200,3500,825,85000,4
26,1,2,24,1,1,2,2086,19.331132,1,1,1,17,23.35,1,13,1,2100,2700,750,46000,7
51,2,1,24,1,2,2,1955,32,1,1,1,6,38.89,1,16,1,2300,5500,700,77500,9
53,1,1,24,1,2,2,1538,34,1,1,2,6,38.89,1,16,1,2200,5250,575,62500,7
42,2,2,24,1,1,2,1616,3,1,1,1,9,22.71,1,11,1,1200,0,425,28000,9
42,1,2,24,1,1,2,1955,16,1,1,1,3,41.98,1,16,1,2200,5750,550,87500,11
48,1,1,24,1,1,2,1955,25,1,1,1,3,40.76,1,16,1,2100,6750,1100,82500,9
46,2,1,24,1,1,2,1955,20,1,1,1,3,39.42,3,12,1,2200,5000,0,77500,9
25,1,6,24,1,1,2,1917,19.331132,1,1,1,19,31.8,1,4,2,2200,0,0,72500,9
47,2,6,24,2,1,2,1955,19.331132,1,1,1,5,27.65,1,16,1,2200,5250,675,57500,4
38,2,6,24,1,1,2,1669,14,1,1,1,10,23.44,1,11,1,2100,3900,750,62500,11
37,1,1,24,1,1,2,1955,2,1,1,1,99,28.16,1,7,2,2300,2800,825,52500,9
38,2,1,24,1,1,2,1825,17,1,1,1,12,49.37,3,6,2,2200,0,0,105000,9
59,1,1,24,1,2,2,1304,38,1,9,2,19,13.04,3,4,2,1000,300,0,22000,6
44,1,1,24,1,1,2,2086,24,1,1,1,8,44.16,3,5,2,2300,2200,0,92500,7
38,2,1,24,1,1,2,1955,5,1,2,1,5,28.67,1,16,1,2100,3300,950,57500,7
43,2,2,24,1,1,2,2086,24,1,1,1,9,31.68,3,6,2,2200,2600,0,65000,9
42,2,1,24,1,2,1,1570,19,1,1,1,6,38.4,1,16,1,2400,3600,450,62500,12
48,1,1,24,1,2,2,1955,24,1,1,1,6,40.68,3,16,1,2200,5250,0,87500,11
66,1,1,24,1,2,2,1955,40,1,1,1,6,43.52,1,16,1,0,2700,1900,85000,12
59,2,1,24,1,2,2,1955,16,1,1,1,7,41.2,1,12,1,2200,5750,1500,87500,11
63,1,4,24,2,1,2,1825,39,1,1,1,6,25.51,1,16,1,2200,2700,650,46000,8
49,2,1,24,1,2,2,1695,24,1,1,1,2,30.72,1,13,2,2300,2100,1350,50000,9
33,1,1,24,1,1,2,1825,8,1,1,1,6,32.62,1,8,1,2100,3500,475,65000,12
60,2,6,24,1,2,2,1825,29,1,9,1,7,32.91,1,12,1,2300,3800,0,65000,10
43,1,1,24,1,1,2,1825,17,1,1,1,6,39.22,2,4,2,2100,4800,950,77500,11
40,1,1,24,2,1,2,2086,21,1,1,1,6,23.2,3,4,2,2300,1450,0,52500,9
51,2,4,24,1,1,2,1825,32,1,2,1,4,24.14,1,16,1,1900,2100,650,43000,10
53,2,6,24,1,1,2,1825,30,1,9,1,9,22.46,1,16,1,1750,0,0,40000,9
25,2,6,24,1,2,2,1460,5,1,1,2,8,19.9,1,12,1,1700,1700,925,37000,9
49,1,6,24,1,1,2,3129,29,1,1,1,21,17.62,3,4,2,2300,275,0,62500,4
26,2,3,24,2,1,2,1825,2,1,1,1,4,18.55,1,16,1,1500,1350,225,34000,11
28,1,2,24,1,1,2,2086,3,1,1,1,6,32.64,3,5,2,2200,0,0,67500,12
45,1,2,24,2,1,2,2086,19.331132,1,1,1,12,18,3,6,2,1900,0,25,42000,6
54,1,1,24,1,2,2,1825,12,1,1,1,7,30.17,1,12,1,2200,3300,1450,52500,11
54,2,1,24,1,2,2,1929,27,1,1,1,4,28.16,1,16,1,2300,9250,850,57500,9
37,1,2,24,1,1,2,2040,17,1,2,1,19,34.01,1,4,2,2200,4100,1400,70000,9
38,2,2,24,1,1,2,1630,19.331132,1,1,2,8,18.26,1,12,1,175,325,125,6750,9
29,1,2,24,1,1,2,2086,8,1,1,1,15,29.76,3,16,1,2200,4300,0,62500,4
42,1,1,24,1,1,2,2086,24,1,1,1,19,25.13,1,16,1,2200,5500,1050,65000,9
33,2,3,24,1,1,2,1762,19.331132,1,1,1,8,17.04,1,12,1,1350,1200,600,31000,6
58,1,4,24,1,1,2,1559,40,1,1,1,20,17.76,3,6,2,1350,0,50,30000,6
54,1,1,24,1,2,2,2086,33,1,1,1,24,38.4,1,5,2,2300,3700,775,72500,9
44,1,2,24,1,1,2,2040,22,1,2,1,19,37.5,1,4,2,1950,1900,1000,43000,6
36,2,3,24,2,1,2,1825,12,1,1,1,4,40.05,3,12,1,2400,6750,425,75000,12
41,1,6,24,1,1,2,815,19,1,1,1,6,30.72,3,9,2,1350,350,50,31000,9
58,1,3,24,2,1,2,1825,36,1,1,1,5,41.14,1,5,2,2400,3400,1075,85000,9
46,2,1,24,1,1,2,1825,19.331132,1,1,1,5,19.47,1,16,1,1550,1400,475,36000,9
24,1,6,24,1,1,1,1251,4,1,1,1,14,16.84,1,12,1,1500,1350,575,34000,9
40,1,2,24,1,1,2,1877,19,1,1,1,4,26.67,1,6,2,2200,2100,1150,47000,9
37,1,2,24,1,1,2,1960,18,1,1,1,3,24,3,6,2,2400,0,0,47000,11
44,1,1,24,1,1,2,1955,22,1,1,1,6,61.44,3,5,2,2400,6250,325,155000,11
42,2,1,24,1,1,2,2086,19,1,1,1,10,38.4,1,11,1,2100,8000,2800,85000,12
30,1,2,24,1,1,1,1747,9,1,1,1,9,16.86,1,12,2,1100,1200,525,27000,9
50,2,3,24,1,1,2,1564,15,1,1,1,11,37.76,1,11,2,2400,4100,825,65000,12
35,2,1,59,1,1,2,1955,19.331132,1,1,1,2,71.68,3,5,2,2200,6000,0,165000,12
45,1,3,24,1,1,2,1955,20,1,1,1,6,41.98,1,16,1,2300,5500,1500,80000,11
23,2,2,24,1,1,2,1637,2,1,2,1,16,18.5,3,11,1,2400,525,800,49000,9
43,1,1,24,1,1,2,1825,22,1,1,1,9,41.14,1,11,1,2200,4600,1800,77500,12
52,1,4,24,2,1,2,1855,31,1,1,1,24,17.28,1,5,2,1600,0,400,37000,6
53,2,1,24,1,2,2,1955,24,1,1,1,2,36.32,1,16,1,2300,5000,675,75000,9
27,1,2,24,2,1,2,1955,4,1,1,1,5,30.21,3,13,2,2300,2800,0,72500,11
49,2,2,24,1,1,2,1695,26,1,2,1,10,41.94,1,11,1,2200,4200,1350,65000,11
43,1,1,24,1,1,2,2346,21,1,9,1,19,27.73,1,4,2,2100,3200,1400,62500,9
51,1,2,24,1,1,2,2086,23,1,1,1,17,15.6,1,6,2,1500,0,600,35000,9
53,1,2,35,1,2,2,997,31,1,1,1,6,30,1,3,1,2200,2500,950,62500,9
57,1,1,24,2,1,2,2086,39,1,1,1,99,33,1,5,2,2200,3700,950,165000,6
34,1,2,24,2,1,2,1825,19.331132,1,1,1,24,20.13,2,5,2,1650,0,0,39000,4
51,1,4,24,1,1,2,2007,19.331132,1,1,1,18,23.44,1,16,1,2300,2200,625,55000,9
20,2,6,24,2,1,2,1825,2,1,1,1,4,19.59,3,13,2,1550,0,0,35000,9
19,1,6,24,2,1,2,1391,0,1,9,1,17,11.5,1,6,2,350,0,175,9500,4
23,1,6,24,2,1,2,1825,2,1,9,1,24,11,1,5,2,775,0,400,20000,5
48,1,1,24,2,1,2,1559,23,1,1,1,21,19,1,2,2,1350,1500,1250,31000,9
53,2,1,24,1,1,2,2086,26,1,1,1,13,13.44,3,6,2,1750,0,0,40000,7
35,1,1,24,1,1,2,2086,10,1,1,1,12,28.78,1,6,2,2200,1700,1150,57500,6
58,1,6,24,1,1,2,2399,37,1,2,1,21,21.6,1,4,2,1950,1600,600,42000,6
49,1,1,24,1,1,2,2086,30,1,1,1,20,23,3,15,2,2200,0,0,60000,6
30,1,1,24,2,1,2,2086,19.331132,1,1,1,15,24.96,3,16,1,2200,3400,0,57500,9
42,1,4,24,1,1,2,2086,22,1,1,1,2,44.64,2,16,1,2100,9000,475,97500,9
58,1,1,24,1,1,2,1359,36,1,1,1,18,36.52,1,4,2,2200,3800,1050,55000,9
46,1,1,24,1,1,2,2346,21,1,1,1,19,27.73,1,4,2,2300,3200,1150,67500,9
41,2,1,24,1,1,2,868,6,1,1,2,9,16.32,1,12,1,625,675,200,15500,9
33,2,1,24,1,2,2,1825,11,1,2,1,9,22,1,16,1,1900,2400,550,43000,9
63,1,1,35,1,2,2,1173,39,1,1,2,6,31.57,3,5,2,2300,2000,0,49000,7
59,2,1,35,1,2,2,1929,37,1,1,1,6,33.21,3,5,2,2300,3000,0,60000,11
39,2,1,35,1,1,2,2086,14,1,1,1,9,24.14,1,12,2,0,1050,1000,47500,9
37,2,2,35,1,1,2,1955,4,1,1,1,5,18.6,1,16,1,1800,2600,0,41000,4
45,1,1,35,1,1,2,2086,24,1,1,1,12,15.45,1,6,2,1150,0,425,26000,6
48,1,6,35,1,1,2,1825,27,1,1,1,6,38.4,3,99,2,2200,4600,0,70000,9
47,1,6,35,1,1,2,1955,19.331132,1,1,1,6,46.08,1,16,1,2200,9750,1200,135000,9
53,2,1,35,1,2,2,2294,36,1,1,1,24,14.7,3,5,2,2300,275,0,62500,6
49,1,1,35,1,2,2,1825,30,1,1,1,5,43.34,3,8,2,2200,4500,0,77500,9
30,1,2,24,1,1,2,1698,10,1,9,1,20,28.43,3,7,2,2300,0,0,92500,9
62,2,1,35,1,2,2,1955,37,1,1,1,8,27.39,1,12,1,0,3600,1900,50000,9
33,2,1,35,1,1,1,1522,9,1,1,1,7,50,1,12,1,2200,3700,2200,120000,9
41,1,1,35,1,1,1,2480,21,1,1,1,15,37.76,1,16,1,2200,12000,3100,115000,11
56,1,1,35,1,2,2,2086,19.331132,1,1,1,2,57.6,3,4,2,2300,0,0,370000,9
53,1,2,35,1,1,2,1929,33,1,2,1,3,44.63,3,99,2,2300,8500,0,85000,12
38,2,1,35,1,1,2,2086,16,1,1,1,6,26.4,3,5,2,2200,0,0,51000,9
40,1,1,35,1,1,2,2086,19,1,1,1,24,39.36,3,5,2,2200,0,0,82500,9
50,2,1,35,1,1,2,1955,28,1,1,1,5,26.11,3,12,1,2300,3400,0,49000,7
54,1,1,35,1,1,2,2190,33,1,1,1,2,59.43,3,5,2,2100,0,0,140000,11
47,1,1,35,1,2,1,2236,27,1,1,1,99,26.4,1,12,1,2200,4900,1300,77500,9
53,2,1,35,1,2,2,1825,33,1,1,1,4,24,1,11,1,1750,3000,800,38000,9
46,1,1,35,1,1,2,1825,17,1,1,1,10,46.63,1,11,1,2300,10000,1300,80000,8
44,2,1,35,1,1,2,1825,14,1,1,1,10,47.56,1,11,1,2100,9750,1250,77500,12
46,2,1,35,1,2,2,1361,19.331132,1,1,1,99,22.8,1,8,2,1800,0,0,36000,6
41,2,1,35,1,1,2,2086,18,1,1,1,15,35.04,1,16,1,2300,9250,1350,97500,9
43,1,1,35,1,1,2,2086,17,1,1,1,15,40.8,1,16,1,2400,9250,1250,110000,11
52,2,1,35,1,1,2,2190,30,1,9,1,7,40,1,12,1,2400,0,0,92500,9
51,1,1,35,1,1,2,2086,31,1,1,1,19,28.73,1,16,1,2200,4800,925,70000,9
38,2,1,35,1,1,1,2137,15,1,9,1,9,17.3,3,12,2,1750,0,0,40000,9
63,2,1,35,1,2,2,1486,37,1,1,1,9,21.94,1,11,1,1850,3200,675,42000,9
37,2,4,35,2,1,2,1825,14,1,1,1,9,22.4,1,12,1,1950,3200,900,42000,9
50,2,4,35,1,2,2,1680,22,1,1,1,4,21.94,1,11,1,1900,3100,500,44000,9
54,1,1,35,1,1,2,2086,32,1,1,1,99,27.23,1,3,2,2200,5250,825,115000,9
58,2,1,35,1,2,2,1251,8,1,1,2,4,12,3,11,1,550,1750,0,16000,9
53,1,1,35,1,1,2,2086,19.331132,1,1,1,19,28.8,1,3,2,2200,3900,225,62500,9
51,2,2,35,1,1,2,2294,30,1,9,1,5,14,3,6,2,1450,0,0,32000,6
27,1,3,35,1,2,2,2086,19.331132,1,1,1,15,33.6,1,3,1,2100,5000,1100,75000,9
40,1,1,35,1,1,2,1955,13,1,1,1,6,51.2,1,3,1,2300,7250,600,105000,12
54,1,3,35,1,2,2,2086,19.331132,1,1,1,99,96,1,3,1,2200,18000,825,195000,8
37,1,1,35,1,1,1,2868,16,1,1,1,6,32.64,3,9,2,2300,0,0,75000,7
48,2,3,35,2,1,2,3129,26,1,1,1,8,17.47,1,12,1,1400,1550,500,31000,9
58,2,4,35,1,1,2,2086,35,1,1,1,10,36.48,1,11,1,2300,8500,1300,77500,11
55,1,4,35,1,1,2,2086,33,1,9,1,18,38.88,3,4,1,2200,4900,600,80000,9
40,1,1,35,1,1,2,2086,21,1,1,1,4,26.55,1,4,2,2200,0,775,130000,9
50,1,6,35,1,1,2,2086,25,1,9,1,14,21.6,1,12,1,2400,3600,0,57500,9
43,2,6,35,2,1,2,2086,24,1,9,1,5,14.4,3,9,2,1450,0,0,32000,6
48,2,1,35,1,1,2,1955,25,1,1,1,4,17.41,3,8,2,1900,1750,0,41000,9
45,1,1,35,1,1,2,1825,23,1,1,1,5,37.85,3,16,1,2200,5750,425,65000,9
58,2,5,35,1,2,2,1597,11,1,1,1,16,26.8,1,11,1,0,2700,575,37000,9
50,2,1,35,1,1,2,1955,30,1,9,1,5,22,1,12,1,2200,3600,0,51000,9
42,2,6,35,2,1,2,1955,19.331132,1,1,1,8,16.93,3,6,2,1450,0,0,32000,9
35,1,1,35,1,1,2,2086,17,1,1,1,2,17.31,3,6,2,1750,0,0,38000,5
35,2,1,35,2,1,2,1825,13,1,1,1,17,11.3,3,6,2,950,0,0,21000,9
38,1,1,35,2,1,2,1043,16,1,1,2,17,11,3,6,2,850,0,0,20000,6
43,2,3,35,1,1,2,1833,28,1,1,1,24,27.54,1,5,2,2300,575,1000,57500,9
22,2,6,35,2,1,2,2086,19.331132,1,1,1,2,10.56,3,6,2,950,0,0,22000,6
56,2,1,35,1,2,2,1955,38,1,1,1,2,40.96,3,5,2,2200,0,0,82500,6
40,2,3,35,1,1,2,1955,19,1,1,1,20,30.72,1,13,2,2300,0,750,60000,11
50,2,1,35,1,2,1,2868,29,1,1,1,17,10.25,3,6,2,1300,175,0,21000,9
23,2,6,35,2,1,1,2292,5,1,1,2,13,10.64,3,6,2,500,0,0,14500,7
32,1,1,35,1,1,2,2086,11,1,1,1,15,27.84,2,16,1,2200,5750,1300,62500,9
24,1,1,35,2,1,1,1572,7,1,1,1,18,15,1,4,2,775,0,675,20000,6
42,1,1,35,1,1,2,2086,23,1,1,1,5,24.35,1,5,2,2200,2200,875,55000,6
31,2,2,35,1,1,1,2007,8,1,1,1,9,35.84,1,16,1,2300,5000,575,77500,12
29,2,1,35,2,1,2,1929,7,1,9,1,9,41,1,16,1,2300,4700,675,70000,11
27,1,1,35,2,1,2,1825,2,1,9,1,10,41.14,1,11,1,2200,5000,1050,75000,12
51,2,6,35,2,1,2,1955,25,1,1,1,5,25.6,1,16,1,2200,3100,775,65000,9
43,1,1,35,1,1,2,1955,22,1,2,1,6,26.62,1,16,1,2200,3100,750,50000,9
35,2,1,35,1,1,2,1955,15,1,1,1,5,33.28,3,7,1,2100,4400,0,70000,9
48,1,1,35,1,1,2,2086,25,1,9,1,6,34.8,3,5,2,2200,0,0,75000,9
44,1,1,35,1,2,2,1825,18,1,1,1,15,32.91,1,16,1,2400,4700,800,70000,11
41,2,1,35,1,1,2,1955,18,1,1,1,5,26.37,1,16,1,2100,4500,675,50000,9
64,1,4,35,2,1,2,2190,15,1,1,1,24,23.2,3,5,2,2300,0,0,60000,7
51,2,1,35,1,2,2,1955,29,1,1,1,5,26.11,1,16,1,2300,3000,825,55000,6
49,2,3,35,1,1,2,2086,24,1,1,1,17,16,1,11,1,1500,2700,525,34000,9
59,1,3,35,1,1,2,2086,38,1,1,1,17,18.24,1,11,1,1850,2900,725,41000,4
48,2,1,35,1,1,1,2679,10,1,1,1,7,42,1,12,1,2100,2400,2700,72500,9
57,1,1,35,1,1,2,2086,32,1,1,1,9,72,3,16,1,2100,13000,0,150000,11
22,1,6,35,1,1,2,2086,19.331132,1,1,1,5,26.4,1,16,1,2200,2600,600,48000,11
21,2,6,35,1,1,2,1217,19.331132,1,1,1,7,29,1,12,1,1300,2100,725,29000,11
61,2,1,35,1,2,2,1564,11,1,1,1,13,8.33,3,6,2,625,0,0,16500,12
54,2,1,35,1,1,2,2086,30,1,1,1,10,43.68,1,11,1,2200,10000,1200,95000,12
23,2,6,35,1,1,2,1833,2,1,1,1,3,26.99,1,16,1,2000,2100,550,45000,11
38,2,1,35,1,1,2,1955,13,1,1,1,3,38.91,3,16,1,2200,6750,0,72500,11
37,2,4,35,2,1,2,2086,19.331132,1,1,1,10,43.68,1,11,1,2200,10500,1200,95000,12
37,1,4,35,2,1,2,1981,19.331132,1,1,1,99,32.84,1,11,1,2300,6500,850,62500,9
21,1,6,35,2,1,2,1966,2,1,1,1,15,13,3,10,2,1100,0,0,27000,11
