"","ecage26","ecsex99","marst26","mjacg26","immst15","pvreg25","dwtenr25","mortg25","multj28","alhrp28","mtlswk28","yrxfte11","clwkr1","prmjb1","fllprt1","nocg2e6","imphwe1","penpln1","uncoll1","n07c3g10","pubpv10","cqpc42","rppc42","udpd42","wgsal42","hleveg18"
"1",53,2,1,1,7,10,1,2,2,2086,999,32,1,1,1,5,24,2,3,12,1,1750,2800,450,40000,9
"2",53,1,1,1,7,10,1,2,2,3129,999,19.3311315269217,1,1,1,3,37.44,2,3,15,2,2300,0,0,105000,6
"3",26,2,1,4,7,10,1,1,2,697,999,19.3311315269217,1,1,9,7,33,1,1,12,1,1500,2200,400,32000,11
"4",55,2,1,1,7,10,1,1,2,2086,999,35,1,1,1,12,15,2,3,6,2,1350,550,125,33000,10
"5",57,1,1,1,7,10,1,1,2,2086,999,35,1,1,1,6,25.24,1,1,16,1,2100,3800,825,60000,9
"6",21,1,6,2,7,10,1,1,2,156,999,1,1,2,2,11,10,2,3,13,1,675,0,0,17000,8
"7",37,2,1,1,7,10,1,1,2,1943,999,15,1,1,1,4,15.69,1,3,9,2,1500,525,0,34000,9
"8",38,1,1,4,7,10,1,1,2,0,21,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"9",48,1,1,1,7,10,1,1,2,1955,999,30,1,1,1,9,25.6,1,1,12,1,2200,4200,625,57500,10
"10",46,2,1,1,7,10,1,1,2,1955,999,29,1,1,1,12,76.8,1,3,6,2,2600,0,300,135000,11
"11",17,2,6,2,7,10,1,1,2,0,14,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,8
"12",17,2,6,2,7,10,1,1,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,5
"13",72,2,1,3,7,10,1,2,2,1344.26571978103,999,40,1,9,9,99,999.99,2,3,99,9,0,75,150,0,9
"14",75,1,1,3,7,10,1,2,2,1344.26571978103,999,45,1,9,9,99,999.99,2,3,99,9,0,0,0,0,10
"15",80,1,1,3,7,10,1,2,2,1344.26571978103,999,34,1,9,9,99,999.99,2,3,99,9,0,0,0,0,10
"16",68,2,1,3,7,10,1,2,2,0,44,10,1,9,9,99,999.99,2,3,99,9,0,75,50,0,9
"17",23,2,6,1,7,10,2,1,2,1424,999,2,1,1,1,17,10.25,2,3,15,2,550,0,0,14000,9
"18",51,2,1,1,7,10,1,1,2,1955,999,23,1,1,1,7,38.31,1,1,12,1,2600,5250,1500,82500,9
"19",50,1,1,1,7,10,1,1,2,1955,999,26,1,1,1,10,46.08,1,1,11,1,2300,7000,1300,90000,11
"20",17,1,6,2,7,10,1,1,2,313,999,0,1,1,2,9,10,2,3,12,2,50,0,0,6250,8
"21",16,1,6,2,7,10,1,1,2,328,4,0,1,2,1,22,10,2,3,4,2,0,0,0,4900,5
"22",46,1,1,1,7,10,1,1,2,1825,999,16,1,1,1,6,35.66,1,3,9,2,2300,1450,0,50000,11
"23",43,2,1,1,7,10,1,1,2,2086,999,12,1,1,1,5,26.4,1,1,13,2,2300,1200,950,52500,11
"24",53,2,3,1,7,10,1,1,2,1807,999,34,1,1,1,17,20.76,2,3,15,2,1650,0,0,40000,9
"25",24,2,6,2,7,10,1,1,2,0,997,1,1,9,9,99,999.99,2,3,99,9,0,0,0,0,11
"26",19,1,6,1,7,10,1,1,2,2040,999,2,1,1,1,22,15,2,3,4,2,950,0,0,22000,5
"27",54,1,6,1,7,10,1,2,1,2138,999,34,1,1,1,6,30.17,1,1,11,1,2200,4500,0,55000,12
"28",27,1,6,1,7,10,1,1,2,2031,999,19.3311315269217,1,1,9,17,24.42,2,3,6,2,1300,575,0,28000,6
"29",42,1,1,2,7,10,2,1,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,8
"30",30,2,1,4,7,10,2,1,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"31",58,1,4,4,7,10,2,1,2,0,240,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"32",68,1,1,3,7,10,1,2,2,0,127,42,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"33",65,2,1,4,7,10,1,2,2,0,500,1,1,9,9,99,999.99,2,3,99,9,0,0,0,0,5
"34",72,2,1,3,7,10,1,2,2,1344.26571978103,999,13,1,9,9,99,999.99,2,3,99,9,0,75,0,0,10
"35",72,1,1,3,7,10,1,2,2,1344.26571978103,999,32,1,9,9,99,999.99,2,3,99,9,0,0,0,125,11
"36",80,2,1,4,7,10,1,2,2,1344.26571978103,999,20,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"37",80,1,1,3,7,10,1,2,2,1344.26571978103,999,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,2
"38",29,1,6,1,7,10,1,1,2,2086,999,6,1,1,1,22,24.96,2,3,6,2,2300,0,0,60000,11
"39",78,1,1,3,7,10,1,2,2,1344.26571978103,999,40,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"40",78,2,1,4,7,10,1,2,2,1344.26571978103,999,5,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"41",64,2,1,4,7,10,1,2,2,0,495,12,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"42",64,1,1,4,7,10,1,2,2,0,79,35,1,9,9,99,999.99,2,3,99,9,0,0,0,75,6
"43",31,2,6,1,7,10,1,2,1,868,999,5,1,2,2,10,39,1,1,11,1,1200,900,0,27000,11
"44",29,2,2,1,2,48,1,1,2,2083,999,4,1,1,1,5,34.08,1,3,2,2,2200,0,0,70000,11
"45",30,1,2,1,1,48,1,1,2,2086,999,9,1,1,1,3,48,1,3,2,2,2200,0,450,97500,11
"46",40,2,1,1,7,10,1,1,1,1344.26571978103,999,19.3311315269217,4,9,2,4,999.99,2,3,9,2,0,0,0,0,11
"47",42,1,1,1,7,10,1,1,2,2086,999,15,4,9,1,6,999.99,2,3,9,2,0,0,0,0,12
"48",70,2,4,3,7,10,2,1,2,1344.26571978103,999,26,1,9,9,99,999.99,2,3,99,9,0,0,0,0,5
"49",74,2,5,3,7,10,1,2,2,1344.26571978103,999,30,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"50",29,2,1,1,7,10,1,1,2,2346,999,8,6,9,1,9,999.99,2,3,12,2,1600,0,0,4600,9
"51",32,1,1,1,7,10,1,1,2,1955,999,9,1,1,1,9,29,1,1,13,2,2200,1450,975,62500,9
"52",76,2,5,4,7,10,1,2,2,1344.26571978103,999,26,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"53",72,1,1,3,7,10,1,2,2,1344.26571978103,999,44,1,9,9,99,999.99,2,3,99,9,0,2800,0,0,6
"54",75,2,1,4,7,10,1,2,2,1344.26571978103,999,4,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"55",64,1,2,1,7,10,2,1,2,2007,999,44,1,9,1,23,28,1,3,2,2,2300,0,0,92500,4
"56",51,2,2,1,7,10,2,1,2,2086,999,22,1,1,1,17,14.24,2,1,14,2,1250,0,275,30000,9
"57",39,2,1,4,7,10,1,1,2,0,178,4,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"58",39,1,1,1,7,10,1,1,2,2086,999,20,1,1,1,14,18.53,1,1,14,2,1850,0,675,42000,9
"59",37,1,1,1,7,10,1,1,2,2086,999,20,1,9,1,19,20.8,2,3,4,2,1500,0,425,33000,9
"60",35,2,1,1,7,10,1,1,2,1809,999,7,1,1,1,4,19,1,3,16,1,1400,1750,0,32000,9
"61",16,2,6,2,7,10,1,1,2,1139,999,0,1,9,2,13,10.85,2,3,6,2,0,0,0,7750,5
"62",39,1,1,1,7,10,2,1,2,2065,999,17,1,9,1,21,22.3,1,1,4,2,2200,3400,550,52500,12
"63",35,2,1,4,7,10,2,1,2,313,999,14,6,9,2,11,999.99,2,3,9,2,0,0,0,0,9
"64",49,2,2,1,7,10,1,1,2,1955,999,25,1,9,1,6,44.54,1,1,16,1,2300,5500,1200,77500,10
"65",29,1,6,1,7,10,1,1,2,2086,999,11,1,1,1,6,13.5,2,3,9,2,900,0,400,21000,6
"66",31,1,6,1,7,10,1,1,2,1955,999,8,1,1,1,6,38.4,1,3,3,1,2400,5750,0,72500,11
"67",27,2,6,1,7,10,1,1,2,1590,999,3,1,1,1,2,17.28,1,3,13,2,1250,0,0,29000,9
"68",35,2,1,1,7,35,1,1,2,1955,999,12,1,1,1,10,26.62,2,1,11,1,2100,8000,1100,90000,12
"69",37,1,1,1,7,35,1,1,2,1955,999,14,1,1,1,6,33.28,2,3,9,2,2200,0,0,70000,11
"70",39,1,1,1,7,10,1,1,2,2086,999,22,1,1,1,9,72,1,3,9,2,2200,0,0,130000,11
"71",42,2,1,1,7,10,1,1,2,1962,999,21,1,1,1,2,33.43,1,3,12,1,2100,4600,350,67500,11
"72",25,2,2,1,7,10,1,1,2,1426,999,1,1,1,1,7,34.91,1,1,12,1,1950,2300,575,40000,11
"73",29,1,2,1,7,10,1,1,2,2086,999,8,1,1,1,6,24,1,3,2,2,1950,0,0,41000,11
"74",62,2,1,3,7,10,1,1,2,643,8,19.3311315269217,1,1,1,12,23.35,1,3,5,2,0,500,0,25000,6
"75",61,1,1,4,7,10,1,1,2,0,356,11,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"76",27,2,1,4,7,59,1,1,2,543,999,7,1,9,1,7,35,2,3,12,2,425,0,0,12000,11
"77",60,1,1,4,7,10,1,1,2,0,161,32,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"78",52,2,1,1,7,10,1,1,2,1564,999,24,1,1,1,13,18.56,1,3,6,2,1300,1450,0,29000,6
"79",25,2,2,4,7,11,1,1,1,1803,1,2,1,2,1,9,23.04,1,3,11,1,1850,1600,0,41000,11
"80",24,1,6,2,7,10,1,1,2,521,999,3,1,1,2,21,34.56,2,3,6,2,0,550,0,23000,8
"81",47,2,6,1,7,10,1,1,2,1825,999,30,1,1,1,4,19.75,1,1,11,1,1750,3300,650,40000,10
"82",80,2,5,4,7,10,1,2,2,1344.26571978103,999,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,7
"83",60,2,5,1,7,10,1,2,2,2086,999,41,1,1,1,13,9.6,2,1,6,2,0,0,0,20000,6
"84",67,2,6,3,7,10,1,1,2,0,997,42,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"85",50,2,6,1,7,10,2,1,2,1825,999,30,1,1,1,3,23,1,1,16,1,1800,2700,575,38000,9
"86",57,1,6,1,7,10,2,1,2,2086,999,34,1,1,1,17,12,2,3,10,2,1200,0,0,29000,9
"87",63,1,1,1,7,10,1,2,2,2607,999,39,3,9,1,6,999.99,2,3,9,2,2200,0,0,95000,12
"88",64,2,1,1,7,10,1,2,2,2086,999,18,1,1,1,4,25.92,1,3,9,2,2100,0,0,52500,9
"89",50,1,1,1,7,10,1,2,2,2086,999,27,1,1,1,99,120,1,3,2,2,2100,0,0,260000,12
"90",52,2,1,1,7,10,1,2,2,1695,999,30,1,1,1,6,32.49,1,1,16,1,2100,2600,750,46000,10
"91",19,2,6,2,7,10,1,2,2,521,999,0,1,1,2,11,12,2,1,13,2,275,0,175,9500,7
"92",61,2,1,1,7,10,1,2,2,818,999,35,1,2,1,4,23,2,1,16,1,0,0,125,17500,11
"93",64,1,1,3,7,10,1,2,2,0,997,32,1,9,9,99,999.99,2,3,99,9,0,0,0,125,11
"94",29,2,6,1,7,10,1,2,2,1324,999,19.3311315269217,1,2,1,9,21,2,3,15,2,925,0,0,21000,12
"95",80,2,5,4,7,10,1,2,2,1344.26571978103,999,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,8
"96",52,1,6,4,7,10,1,2,2,0,100,26,1,9,9,99,999.99,2,3,99,9,0,0,0,500,8
"97",58,2,1,2,7,10,1,2,2,2086,999,21,1,1,1,9,46.08,1,1,11,1,2300,9250,1500,72500,12
"98",59,1,1,3,7,10,1,2,2,0,52,35,1,9,9,99,999.99,2,3,99,9,0,0,0,25,11
"99",20,2,6,2,7,10,1,2,1,947,999,2,1,1,2,13,9,2,3,6,2,175,0,0,6000,8
"100",53,2,1,1,7,10,1,2,1,2064,999,28,1,9,1,7,40.96,1,1,12,1,2300,4000,0,85000,11
"101",56,1,1,1,7,10,1,2,2,3129,999,15,1,9,1,20,35.2,2,1,2,2,2100,0,0,185000,9
"102",25,1,6,2,7,10,1,2,1,1288,999,1,1,9,2,4,10,2,3,11,1,325,0,0,9500,8
"103",21,1,6,2,7,10,1,2,2,1354,0,19.3311315269217,1,2,1,6,20,2,3,9,2,1000,0,0,26000,8
"104",21,2,6,2,7,10,1,2,1,788,4,0,1,9,1,99,11.5,2,2,7,2,125,0,25,6000,8
"105",80,2,5,4,7,10,1,2,2,1344.26571978103,999,25,1,9,9,99,999.99,2,3,99,9,0,0,0,0,7
"106",37,2,6,1,7,10,1,1,2,1825,999,19,1,1,1,99,68.57,1,3,15,2,2200,0,0,105000,11
"107",39,2,2,1,7,10,1,1,2,1929,999,21,1,1,1,4,16.09,2,3,13,2,1450,0,0,34000,11
"108",43,2,6,4,7,10,2,1,2,45,1,0,1,1,2,7,12,2,3,12,2,0,0,0,0,9
"109",64,1,4,4,7,10,2,1,2,0,298,21,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"110",40,1,6,1,7,10,2,1,1,2222,999,19.3311315269217,1,2,9,99,12.36,2,1,11,1,1650,0,0,35000,12
"111",68,1,1,3,7,10,2,1,2,0,213,35,1,9,9,99,999.99,2,3,99,9,0,0,0,0,7
"112",66,2,1,3,7,10,2,1,2,0,255,16,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"113",38,1,6,1,7,10,1,1,2,1961,999,19,1,2,1,11,25.95,1,1,16,1,2200,3300,0,49000,10
"114",29,2,3,1,7,10,2,1,2,786,6,19.3311315269217,1,1,1,17,9.58,2,3,10,2,125,0,0,7000,7
"115",40,2,4,1,7,10,2,1,2,2190,999,17,1,1,1,4,14.5,2,3,12,2,1350,0,0,31000,9
"116",17,2,6,2,7,10,2,1,2,325,4,0,1,1,2,99,12,2,3,6,2,0,0,0,2500,5
"117",35,2,6,4,7,10,2,1,2,0,997,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"118",75,2,4,4,7,10,2,1,2,1344.26571978103,999,5,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"119",67,2,5,4,7,10,1,1,2,0,200,19,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"120",44,1,2,1,7,10,1,1,2,1955,999,19.3311315269217,1,1,1,12,66.56,1,3,8,2,2200,0,0,130000,9
"121",36,1,1,1,7,10,1,1,2,1808,999,17,1,1,1,20,62.78,2,3,2,2,2100,750,150,155000,9
"122",36,2,1,1,7,10,1,1,2,1825,999,14,1,1,1,6,34.56,1,2,16,1,2300,4700,200,62500,9
"123",80,2,5,4,7,10,2,1,2,1344.26571978103,999,22,1,9,9,99,999.99,2,3,99,9,0,0,0,0,8
"124",56,2,5,4,7,10,1,1,2,2086,999,40,1,1,1,13,10.21,2,3,6,2,0,0,0,33000,6
"125",66,2,4,3,7,10,2,1,2,0,47,40,1,9,9,99,999.99,2,3,99,9,0,0,0,0,12
"126",73,2,5,4,7,10,1,2,2,1344.26571978103,999,35,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"127",57,1,2,1,7,10,1,1,2,1989,999,19.3311315269217,1,9,9,99,29.32,2,3,99,2,2100,0,750,67500,8
"128",51,2,2,1,7,10,1,1,1,1734,999,16,1,1,1,17,12.5,2,3,15,2,600,0,0,16000,9
"129",26,1,6,4,7,10,1,1,2,88,2,0,1,2,2,21,15,2,3,13,2,200,0,0,6500,11
"130",24,2,3,1,7,10,1,2,2,1035,999,2,1,1,1,8,27.16,1,1,12,1,1250,1850,325,30000,9
"131",29,1,3,1,7,10,2,1,2,1955,999,8,1,1,1,99,18.94,1,2,14,2,1800,0,0,40000,11
"132",30,2,1,1,7,10,1,1,2,1825,999,7,1,2,1,9,24.14,1,2,11,1,2000,3700,0,44000,12
"133",72,1,5,4,7,10,2,1,2,1344.26571978103,999,20,1,9,9,99,999.99,2,3,99,9,0,0,0,0,2
"134",50,2,1,1,7,10,1,1,2,1825,999,30,1,1,1,5,29.07,1,1,11,1,2300,4400,775,57500,11
"135",40,1,1,1,7,10,1,1,2,2086,999,19.3311315269217,1,1,1,24,22.56,1,1,5,2,2200,2500,625,49000,9
"136",25,2,2,1,7,10,1,1,1,2130,999,19.3311315269217,1,1,1,14,15,2,3,14,2,775,0,0,18500,7
"137",41,2,1,1,7,10,1,1,2,2086,999,21,1,1,1,4,16.8,2,3,9,2,2200,0,0,65000,9
"138",40,1,1,4,7,10,1,1,1,2091,999,23,1,2,1,24,21.25,1,1,5,2,1400,575,275,32000,7
"139",70,1,1,3,7,10,1,2,2,1344.26571978103,999,25,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"140",38,1,6,1,7,10,1,2,2,2086,999,13,1,1,1,13,19.68,1,3,6,2,2100,5250,0,50000,6
"141",59,2,1,3,7,10,1,2,2,0,997,23,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"142",35,1,2,1,7,10,1,1,2,2086,999,12,1,1,1,17,21.6,1,3,6,2,1650,3900,0,37000,6
"143",59,2,4,3,7,10,1,1,2,1304,4,32,1,1,1,8,22.02,1,1,12,1,1350,2100,525,33000,9
"144",60,2,1,1,7,10,2,1,2,1955,999,24,1,1,1,13,12.8,2,3,6,2,775,0,0,18000,9
"145",61,1,1,4,7,10,2,1,2,1148,999,44,1,1,1,99,15.21,2,1,5,2,1200,0,0,28000,6
"146",28,1,6,1,7,10,1,1,2,3802,999,4,1,1,1,2,28.5,1,3,12,1,425,775,0,11000,9
"147",55,2,3,4,7,10,2,1,2,0,276,2,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"148",34,2,6,1,7,10,2,1,2,1955,999,16,1,1,1,5,19.16,1,1,12,1,2200,2600,550,48000,6
"149",62,2,1,3,7,10,1,2,2,0,17,38,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"150",69,1,1,3,7,10,1,2,2,0,134,40,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"151",36,2,6,1,7,10,2,1,2,268,999,13,1,1,1,17,16.26,2,3,14,2,0,0,25,3200,6
"152",33,1,1,1,2,35,1,1,1,1530,999,7,1,2,1,5,19,2,1,16,1,1100,0,375,25000,11
"153",33,2,1,1,2,35,1,1,1,2025,999,8,1,1,1,1,36.86,1,1,16,1,2300,4400,825,67500,11
"154",61,2,3,1,7,10,1,2,1,2815,999,37,1,1,1,4,21.94,1,1,16,1,2200,2700,625,49000,9
"155",24,1,6,1,7,10,1,2,2,2086,999,6,1,1,1,5,11,2,3,6,2,925,0,0,22000,6
"156",23,1,6,1,7,10,1,2,2,407,0,1,1,2,1,99,12,2,3,5,2,50,0,0,5250,7
"157",56,2,1,4,7,10,1,2,2,0,997,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"158",58,1,1,1,7,10,1,2,2,2294,999,31,3,9,1,21,999.99,2,3,4,2,1900,0,0,41000,4
"159",57,1,1,4,7,10,1,1,2,0,264,25,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"160",61,2,1,1,7,10,1,1,2,1955,999,39,1,1,1,17,19.34,1,1,12,2,1650,2700,600,39000,5
"161",58,1,6,4,7,10,1,2,2,0,997,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,250,475,9
"162",43,2,6,1,7,10,1,1,2,2086,999,22,1,1,1,5,12.48,2,3,10,2,1200,0,0,28000,9
"163",75,1,5,3,7,10,1,1,2,1344.26571978103,999,50,1,9,9,99,999.99,2,3,99,9,0,0,0,30000,3
"164",75,2,5,4,7,10,1,1,2,1344.26571978103,999,17,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"165",57,2,1,4,7,10,1,1,2,0,451,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"166",58,1,1,1,7,10,1,1,2,293,999,19.3311315269217,6,9,1,6,999.99,2,3,2,2,2200,0,0,57500,5
"167",17,1,6,2,7,10,1,1,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,5
"168",54,2,1,1,7,48,1,1,2,2294,999,37,1,1,1,17,17,2,3,13,2,1950,0,0,44000,9
"169",58,1,1,1,7,48,1,1,2,2086,999,37,1,1,1,6,34.56,1,3,2,2,2300,0,0,92500,1
"170",60,1,1,1,7,10,1,1,2,1832,999,35,1,1,1,20,18,1,3,15,2,0,0,0,28000,3
"171",60,2,1,3,7,10,1,1,2,0,458,4,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"172",66,1,1,3,7,10,1,2,2,133,4,45,1,2,1,20,20,2,3,6,2,0,0,0,3100,9
"173",60,2,1,4,7,10,1,2,2,0,182,2,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"174",31,2,6,1,7,10,1,2,2,2086,999,3,1,1,1,4,16.5,2,3,9,2,1600,0,0,34000,9
"175",48,1,1,1,7,10,1,1,2,1952,999,19.3311315269217,1,1,1,20,21,1,3,15,2,2100,750,0,43000,9
"176",43,2,1,4,7,10,1,1,2,0,997,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"177",24,2,6,2,7,10,1,1,2,0,997,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,8
"178",17,1,6,2,7,10,1,1,2,0,16,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,5
"179",40,2,1,1,7,10,1,1,2,2086,999,23,1,1,1,10,26.88,1,1,11,1,2300,6250,900,62500,11
"180",44,1,1,1,7,10,1,1,2,2086,999,22,1,1,1,17,16.5,2,1,5,2,2000,0,600,43000,6
"181",73,1,1,3,7,10,1,2,2,1344.26571978103,999,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,12
"182",71,2,1,3,7,10,1,2,2,1344.26571978103,999,30,1,9,9,99,999.99,2,3,99,9,0,0,0,0,11
"183",62,2,1,3,7,10,1,2,2,0,65,35,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"184",59,1,1,4,7,10,1,2,2,0,17,40,1,9,9,99,999.99,2,3,99,9,0,750,0,0,11
"185",46,2,6,1,7,10,1,1,2,1955,999,19,1,1,1,4,12.67,1,3,8,2,1500,0,0,33000,9
"186",56,2,1,1,7,10,1,1,2,1955,999,34,1,1,1,7,38.06,1,1,12,1,2100,5250,1300,80000,11
"187",55,1,1,1,7,10,1,1,2,1700,999,35,1,2,1,19,18,2,3,4,2,650,0,0,17500,10
"188",24,1,6,1,7,10,1,1,2,1221,999,1,1,1,1,22,16,2,3,4,2,125,0,0,7000,5
"189",59,1,1,1,7,10,1,2,2,1825,999,42,3,9,1,2,999.99,2,3,6,2,1900,0,0,42000,6
"190",63,2,1,1,7,10,1,2,2,1564,999,29,1,1,1,13,11.36,2,3,6,2,0,0,0,42000,4
"191",68,1,1,3,7,10,1,1,2,0,139,40,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"192",68,2,1,3,7,10,1,1,2,0,141,41,1,9,9,99,999.99,2,3,99,9,0,0,0,9000,9
"193",72,2,5,3,7,10,1,2,2,1344.26571978103,999,30,1,9,9,99,999.99,2,3,99,9,0,0,0,0,11
"194",56,1,1,4,7,10,1,1,2,0,997,8,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"195",52,2,1,1,7,10,1,1,2,1825,999,32,1,1,1,10,38.95,1,1,11,1,2200,6250,650,82500,11
"196",54,2,1,1,7,10,1,1,1,1219,999,13,1,1,2,8,23.85,1,1,12,2,1300,1400,725,31000,9
"197",49,1,1,1,7,10,1,1,2,1955,999,31,1,1,1,5,39.94,1,1,16,1,2100,6500,100,82500,9
"198",24,2,6,2,7,10,1,1,1,1414,999,19.3311315269217,1,1,2,13,12.5,2,3,6,2,850,0,0,19500,11
"199",71,2,4,3,7,10,1,2,2,1344.26571978103,999,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"200",66,1,6,1,7,10,1,2,2,417,999,19.3311315269217,1,2,1,6,27,1,1,16,1,0,575,400,28000,9
"201",68,1,3,3,7,10,1,2,2,601,3,11,1,2,1,99,19.69,2,3,10,2,0,0,0,8250,9
"202",53,1,1,1,7,10,1,1,2,2086,999,35,1,1,1,20,31.2,1,1,16,1,2200,4800,800,67500,9
"203",50,2,1,1,7,10,1,1,2,1825,999,34,1,1,1,12,41.14,1,3,8,2,2100,0,0,87500,9
"204",70,1,1,3,7,10,1,2,2,1344.26571978103,999,45,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"205",65,2,1,3,7,10,1,2,2,0,500,6,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"206",76,2,5,3,7,10,2,1,2,1344.26571978103,999,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"207",40,2,1,1,7,10,1,1,2,777,999,8,1,1,2,16,17.8,1,1,11,1,525,925,225,16000,12
"208",42,1,1,1,7,10,1,1,2,2147,999,17,6,9,1,17,999.99,2,3,15,2,725,0,0,8250,9
"209",57,1,1,1,7,10,1,1,1,2227,999,36,1,1,2,5,16.8,2,3,10,2,2300,625,300,60000,9
"210",55,2,1,4,7,10,1,1,2,0,997,8,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"211",23,1,6,2,7,10,1,1,2,1932,999,4,1,1,1,14,12,2,3,14,2,775,0,0,20000,8
"212",51,2,1,1,7,10,1,1,2,2086,999,12,1,9,1,5,19.58,2,3,10,2,1750,2800,625,38000,9
"213",53,1,1,4,7,10,1,1,2,842,999,33,1,9,1,19,21.5,2,3,4,2,1000,0,0,23000,4
"214",43,2,4,1,7,10,1,1,2,2086,999,26,1,1,1,13,18.61,2,3,6,2,2300,0,225,57500,10
"215",23,1,6,1,7,10,1,1,2,1772,999,1,1,1,1,21,14,2,1,6,2,2100,425,100,48000,5
"216",48,2,4,1,7,10,1,1,2,1048,999,25,1,1,1,2,16,2,3,6,2,775,0,0,18500,9
"217",17,1,6,2,7,10,1,1,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,5
"218",31,1,1,2,7,10,1,1,1,1765,3,9,1,1,1,19,11.65,2,3,4,2,775,0,0,18500,9
"219",30,2,1,1,7,10,1,1,2,2080,999,7,1,2,1,5,23,1,1,16,1,1950,300,650,45000,6
"220",65,1,1,1,7,10,1,2,2,1212,0,15,1,1,1,20,47,2,1,4,2,0,0,1300,125000,9
"221",61,2,1,3,7,10,1,2,2,938,6,33,1,1,1,9,36.35,1,1,16,1,0,2000,475,38000,10
"222",73,1,1,3,7,10,1,2,2,1344.26571978103,999,40,1,9,9,99,999.99,2,3,99,9,0,0,0,425,9
"223",66,2,1,3,7,10,1,2,2,0,35,33,1,9,9,99,999.99,2,3,99,9,0,0,0,75,12
"224",38,1,2,1,7,10,1,1,2,2086,999,11,1,1,1,20,21.12,2,3,4,2,2000,0,0,43000,9
"225",37,2,2,1,7,10,1,1,1,1911,999,13,1,1,1,6,26.88,1,3,8,2,2300,1500,0,55000,9
"226",18,1,6,1,7,10,1,1,2,1043,999,1,1,1,1,17,10.25,2,3,14,2,50,0,0,6250,6
"227",50,2,1,1,7,10,1,1,2,2086,999,30,1,1,1,5,27.32,1,3,6,1,2200,4100,0,55000,9
"228",53,1,1,1,7,10,1,1,2,1825,999,33,1,1,1,9,41.14,1,1,16,1,2300,5750,625,75000,12
"229",21,2,6,1,7,10,1,1,2,2346,999,3,1,1,1,8,13.88,1,1,12,1,1700,1650,600,36000,9
"230",17,2,6,2,7,10,1,1,2,52,999,0,1,2,2,17,10.25,2,3,14,2,0,0,0,425,5
