"","ecage26","ecsex99","marst26","mjacg26","immst15","pvreg25","dwtenr25","mortg25","multj28","alhrp28","mtlswk28","yrxfte11","clwkr1","prmjb1","fllprt1","nocg2e6","imphwe1","penpln1","uncoll1","n07c3g10","pubpv10","cqpc42","rppc42","udpd42","wgsal42","hleveg18"
"5275",80,2,5,3,7,24,2,1,2,1344.26571978103,999,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,2
"5276",46,2,1,4,7,24,1,1,2,1502,999,25,1,1,1,3,22.42,2,3,9,2,2600,0,0,41000,12
"5277",53,1,1,3,7,24,1,1,2,26,999,32,6,9,2,9,999.99,2,3,9,2,50,0,0,0,9
"5278",80,1,5,3,7,24,1,1,2,1344.26571978103,999,45,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"5279",65,1,2,1,7,24,1,1,2,382,999,38,6,9,2,9,999.99,2,3,12,2,0,0,625,1100,12
"5280",59,2,2,3,7,24,1,1,2,241,2,32,1,2,2,10,30,1,1,11,1,0,25,375,2600,11
"5281",52,2,2,1,7,24,1,1,2,1825,999,27,1,1,1,8,11.57,2,3,6,2,1400,0,0,31000,6
"5282",53,1,2,1,7,24,1,1,2,1467,999,11,1,2,1,21,15.8,2,1,4,2,900,0,575,23000,9
"5283",35,2,4,2,7,24,2,1,2,0,40,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,7
"5284",48,2,1,2,7,24,1,2,2,541,1,4,1,2,1,17,15.1,2,3,11,1,200,0,0,6750,8
"5285",23,2,6,4,7,24,1,1,2,0,39,1,1,9,9,99,999.99,2,3,99,9,0,0,0,0,7
"5286",26,1,6,1,7,24,2,1,1,2841,999,19.3311315269217,1,1,9,15,36.86,2,3,16,1,175,0,0,5750,9
"5287",24,1,6,2,7,24,2,1,2,277,999,19.3311315269217,1,1,2,15,11,1,3,11,1,0,0,0,2800,8
"5288",53,1,1,1,7,24,1,1,2,1825,999,19.3311315269217,1,1,1,6,18.43,1,3,9,2,1650,0,0,37000,9
"5289",52,2,1,1,7,24,1,1,2,1825,999,30,1,1,1,9,22.46,1,1,16,1,1800,1750,475,38000,9
"5290",23,2,6,2,7,24,1,1,1,1689,999,19.3311315269217,1,1,9,9,15.7,2,3,11,1,825,0,0,20000,9
"5291",20,1,6,1,7,24,1,1,2,235,999,1,1,2,2,25,17.36,2,3,10,2,0,0,25,3300,7
"5292",16,1,6,2,7,24,1,1,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"5293",26,1,6,1,7,24,2,1,2,654,999,0,1,9,2,13,12.54,2,1,6,2,400,25,25,11000,9
"5294",27,1,1,1,7,24,2,1,1,2280,999,19.3311315269217,6,9,1,17,999.99,2,3,10,2,2700,2200,625,40000,9
"5295",26,1,2,4,7,24,2,1,2,1043,999,5,1,9,1,22,19.35,2,3,4,2,650,0,0,17000,9
"5296",70,2,1,3,7,24,1,2,2,1344.26571978103,999,24,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"5297",76,1,1,3,7,24,1,2,2,1344.26571978103,999,40,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"5298",55,2,6,4,7,24,2,1,2,0,500,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"5299",31,2,2,4,7,24,1,1,2,1955,999,19.3311315269217,1,1,1,9,38.4,1,1,16,1,2200,5500,350,67500,12
"5300",67,1,4,3,7,24,2,1,2,0,109,30,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"5301",72,1,1,3,7,24,1,1,2,1344.26571978103,999,37,1,9,9,99,999.99,2,3,99,9,0,0,0,600,2
"5302",65,2,1,1,7,24,1,1,2,2010,999,28,1,1,1,24,10,2,3,5,2,0,0,0,19000,3
"5303",40,1,1,1,7,24,1,1,1,2284,999,7,1,1,1,11,38.4,1,1,13,1,2100,1850,550,37000,7
"5304",36,2,1,4,7,24,1,1,2,21,999,0,6,9,2,9,999.99,2,3,12,2,0,0,0,0,11
"5305",58,2,1,1,7,24,1,2,2,1460,999,10,1,1,2,17,10.97,1,3,6,2,775,400,0,20000,6
"5306",58,1,1,3,7,24,1,2,2,0,43,34,1,9,9,99,999.99,2,3,99,9,0,0,0,300,9
"5307",30,1,1,1,7,24,1,1,2,2086,999,9,1,1,1,15,33.6,1,1,16,1,2100,4700,1250,85000,7
"5308",32,2,1,2,7,24,1,1,2,0,69,3,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"5309",60,1,1,1,7,24,1,2,2,2007,999,42,1,1,1,13,13.13,2,1,6,2,0,0,500,26000,9
"5310",56,2,1,1,7,24,1,2,2,1955,999,20,1,1,1,17,19.63,1,1,12,1,1200,1300,450,28000,7
"5311",67,2,5,3,7,24,1,1,2,0,18,39,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"5312",79,1,1,3,7,24,1,2,2,1344.26571978103,999,47,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"5313",70,2,1,3,7,24,1,2,2,1344.26571978103,999,50,1,9,9,99,999.99,2,3,99,9,0,0,0,0,11
"5314",29,2,2,4,7,24,1,1,2,352,999,10,1,1,1,5,20.73,2,3,6,2,250,0,0,8250,9
"5315",37,1,2,1,7,24,1,1,2,1943,999,14,1,1,1,13,13.44,2,3,6,2,1450,0,150,32000,7
"5316",54,2,1,4,7,24,1,1,2,0,139,25,1,9,9,99,999.99,2,3,99,9,0,0,0,0,7
"5317",52,1,1,1,7,24,1,1,2,775,999,32,6,9,2,21,999.99,2,3,7,2,850,0,0,0,6
"5318",24,2,6,1,7,24,1,1,1,52,999,0,1,9,2,8,18,1,1,12,2,925,0,0,22000,4
"5319",59,1,6,1,7,24,2,1,2,2086,999,19.3311315269217,1,1,1,20,17,1,1,15,2,2100,0,275,55000,9
"5320",43,1,1,1,7,24,1,1,2,2086,999,19,1,1,1,4,38.16,1,3,16,1,2200,5500,0,100000,11
"5321",37,2,1,1,7,24,1,1,2,1825,999,17,1,1,1,9,21.68,1,1,12,2,1900,2000,825,40000,9
"5322",60,2,1,3,7,24,2,1,2,0,18,27,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"5323",63,1,1,1,7,24,2,1,2,730,999,35,5,9,2,7,999.99,2,3,12,2,3900,0,0,0,12
"5324",41,1,6,1,7,24,2,1,2,1981,999,23,1,1,1,5,14.9,2,3,6,2,1400,0,0,32000,9
"5325",51,1,4,1,7,24,1,1,2,1825,999,30,1,1,1,2,87.72,1,3,5,2,2300,0,0,155000,12
"5326",21,2,6,1,7,24,1,1,2,1218,999,0,1,9,1,17,13,2,3,13,2,575,0,150,15000,9
"5327",21,2,6,2,7,24,1,1,2,417,999,2,1,1,2,4,11,2,3,11,2,100,0,0,5500,9
"5328",18,1,6,2,7,24,1,1,2,417,4,0,1,2,2,17,10.5,2,3,6,2,0,0,0,3200,7
"5329",19,2,6,2,2,24,2,1,2,1043,999,0,1,9,2,7,10.56,2,3,12,2,500,0,0,14500,7
"5330",23,1,6,1,2,24,2,1,2,1629,999,2,1,1,1,13,8.19,2,3,6,2,625,0,0,16500,9
"5331",19,1,6,2,2,24,2,1,2,174,999,0,1,2,2,13,10,2,3,6,2,50,0,0,4300,9
"5332",63,1,1,1,7,24,1,2,2,2086,999,42,6,9,1,3,999.99,2,3,8,2,2100,0,0,46000,9
"5333",63,2,1,4,7,24,1,2,2,0,44,31,1,9,9,99,999.99,2,3,99,9,0,0,0,0,5
"5334",38,1,2,1,7,24,1,1,2,2086,999,18,1,1,1,20,27,1,1,13,2,2300,0,875,70000,9
"5335",40,2,2,1,7,24,1,1,2,2086,999,19,6,9,1,17,999.99,2,3,15,2,1200,0,0,0,9
"5336",48,1,2,3,7,24,1,2,2,88,999,19.3311315269217,1,2,9,11,25.48,2,3,6,2,0,0,0,0,9
"5337",49,2,2,1,7,24,1,2,1,3128,999,19.3311315269217,5,9,1,7,999.99,2,3,12,2,4200,0,525,5750,12
"5338",17,1,6,2,7,24,1,2,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,5
"5339",56,1,1,4,7,24,1,1,2,0,48,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,12
"5340",57,2,1,1,7,24,1,1,2,1947,999,32,1,1,1,7,31.5,1,1,12,1,2300,3500,0,65000,9
"5341",27,2,2,1,2,24,1,1,2,1823,999,19.3311315269217,1,1,1,11,20.3,2,3,11,2,1850,325,0,40000,11
"5342",23,1,6,1,2,24,2,1,2,2086,999,19.3311315269217,1,1,1,12,21.6,2,3,6,2,2200,0,0,46000,7
"5343",74,2,5,3,7,24,1,2,2,1344.26571978103,999,10,1,9,9,99,999.99,2,3,99,9,0,0,0,0,10
"5344",51,1,6,1,7,24,1,1,2,2086,999,29,1,1,1,2,42.24,1,3,11,1,2300,8000,850,87500,12
"5345",53,1,6,4,7,24,2,1,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"5346",37,2,4,2,7,24,1,1,1,2063,999,12,1,2,1,7,17.28,2,3,11,2,2200,2200,450,52500,12
"5347",58,2,6,4,7,24,1,1,2,0,13,13,1,9,9,99,999.99,2,3,99,9,0,25,0,100,6
"5348",44,1,3,1,7,24,2,1,2,2086,999,19.3311315269217,1,1,1,5,24.96,1,1,7,1,2100,3100,875,52500,6
"5349",34,2,3,1,7,24,1,1,2,1825,999,8,1,1,1,7,35,1,1,12,1,2200,3900,1750,65000,11
"5350",67,1,1,3,7,24,1,2,2,0,163,34,1,9,9,99,999.99,2,3,99,9,0,0,0,0,11
"5351",65,2,1,3,7,24,1,2,2,0,196,15,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"5352",50,2,4,1,7,24,1,1,1,1919,999,31,1,2,1,9,31.8,1,1,12,1,2300,3400,1550,57500,11
"5353",68,1,1,4,7,24,1,2,2,0,107,40,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"5354",68,2,1,4,7,24,1,2,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"5355",37,1,2,1,7,24,1,1,2,2086,999,19.3311315269217,1,1,1,24,12,2,3,5,2,1400,0,0,32000,7
"5356",31,2,2,1,7,24,1,1,2,664,999,6,1,9,1,4,12,2,3,4,2,325,500,0,10500,9
"5357",38,2,2,1,7,24,1,1,1,2785,999,14,1,1,1,3,25.63,1,1,12,1,2300,3700,750,52500,9
"5358",38,1,2,1,7,24,1,1,1,2026,999,14,1,1,1,6,41.29,1,1,11,1,2300,5000,1050,87500,11
"5359",68,2,1,3,7,24,1,2,2,365,999,7,2,9,2,23,999.99,2,3,1,2,0,0,0,0,7
"5360",70,1,1,3,7,24,1,2,2,1344.26571978103,999,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,13500,3
"5361",43,2,4,1,7,24,1,1,2,2086,999,9,1,1,1,10,30.72,1,1,11,1,2300,4300,1050,67500,11
"5362",53,2,2,1,7,24,1,1,2,1304,999,19.3311315269217,1,1,2,20,11.2,2,3,6,2,600,0,0,16500,9
"5363",50,1,2,4,7,24,1,1,2,0,24,18,1,9,9,99,999.99,2,3,99,9,0,0,0,0,12
"5364",60,1,2,3,7,24,1,2,2,0,997,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,14500,7
"5365",52,2,2,1,7,24,1,2,2,2086,999,33,1,1,1,5,19.2,1,3,6,2,2200,0,0,46000,6
"5366",60,2,6,1,7,24,1,1,2,1304,999,38,1,1,2,5,15.36,2,3,13,2,0,0,0,0,9
"5367",61,1,2,1,7,24,1,1,2,2346,999,43,3,9,1,2,999.99,2,3,6,2,0,0,0,30000,7
"5368",50,2,2,1,7,24,1,1,2,2086,999,30,1,1,1,5,12.96,2,3,6,2,1350,0,0,33000,6
"5369",64,1,1,1,7,24,1,1,1,2907,999,19.3311315269217,1,2,9,10,33.53,2,3,11,1,0,0,0,13500,12
"5370",70,2,1,4,7,24,1,2,2,1344.26571978103,999,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"5371",70,1,1,3,7,24,1,2,2,1344.26571978103,999,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"5372",63,2,3,1,7,24,1,1,1,1603,999,32,1,2,2,3,96.91,1,3,11,1,0,2600,0,62500,11
"5373",52,2,6,1,2,24,2,1,2,2086,999,24,1,1,1,2,60,2,3,9,2,2100,0,0,120000,12
"5374",64,2,4,1,7,24,1,1,2,1825,999,7,1,1,1,5,24.91,2,3,15,2,0,0,0,47000,4
"5375",46,2,2,1,7,24,1,2,2,2040,999,27,1,1,1,12,54.24,2,3,6,2,2300,0,0,115000,7
"5376",54,2,2,1,7,24,1,2,1,2436,999,14,1,1,1,10,35.66,1,1,11,1,2200,5750,1300,80000,11
"5377",60,1,1,1,7,24,1,1,2,1981,999,22,1,1,1,2,40.42,2,2,9,2,2300,0,0,145000,12
"5378",54,2,1,1,7,24,1,1,2,1825,999,17,1,2,1,10,29.62,1,1,11,1,2300,3000,850,52500,12
"5379",41,2,2,4,7,24,1,2,2,0,134,10,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"5380",40,1,2,4,7,24,1,2,2,0,997,9,1,9,9,99,999.99,2,3,99,9,450,0,0,11000,7
"5381",61,2,1,3,7,24,1,2,2,0,77,31,1,9,9,99,999.99,2,3,99,9,0,0,0,300,9
"5382",63,1,1,3,7,24,1,2,2,0,102,41,1,9,9,99,999.99,2,3,99,9,0,0,0,175,3
"5383",32,1,6,1,7,24,1,2,2,2086,999,12,1,1,1,20,24,2,3,5,2,2100,0,0,57500,9
"5384",26,1,6,1,7,24,2,1,2,2086,999,6,1,1,1,20,16,2,3,15,2,1400,0,0,34000,9
"5385",35,2,2,1,7,24,1,2,2,824,999,17,1,1,1,4,16.75,2,3,6,2,425,0,0,12500,7
"5386",35,1,2,1,7,24,1,2,2,1955,999,15,1,1,1,24,25.6,1,3,5,2,2200,2100,0,48000,9
"5387",34,1,3,1,7,24,1,1,2,1251,999,17,1,9,1,19,40,1,1,4,2,1850,2500,1050,42000,9
"5388",25,2,1,4,2,24,1,1,2,903,999,8,1,2,1,8,16.55,2,3,12,2,575,0,0,14500,9
"5389",43,1,2,1,2,24,1,1,2,1825,999,23,1,1,1,11,35.66,1,3,13,2,2200,600,0,62500,9
"5390",44,2,6,1,7,24,1,1,2,1825,999,22,1,1,1,5,20.85,1,1,8,2,2000,600,0,46000,9
"5391",49,1,2,1,7,24,1,2,2,1747,999,25,1,9,1,20,45.28,1,1,3,1,2100,0,0,95000,9
"5392",49,2,2,1,7,24,1,2,2,1460,999,19.3311315269217,1,1,2,17,9.65,2,3,14,2,375,0,0,10500,6
"5393",21,2,6,1,7,24,1,2,2,1588,999,0,1,9,1,17,9.75,2,3,12,2,550,0,325,14500,7
"5394",19,2,6,2,7,24,1,2,1,1071,999,0,1,9,2,13,9.5,2,3,6,2,400,0,0,11000,5
"5395",63,2,2,3,7,24,1,1,2,548,999,32,4,9,2,9,999.99,2,3,12,2,0,0,0,0,9
"5396",55,1,2,1,7,24,1,1,2,1825,999,19.3311315269217,1,1,1,6,46.63,1,1,8,2,2400,7000,675,92500,11
"5397",28,1,2,1,7,24,1,1,2,1131,999,19.3311315269217,1,1,1,24,15.28,2,3,5,2,725,0,0,17000,4
"5398",23,2,2,4,7,24,1,1,2,1738,2,19.3311315269217,1,1,1,14,12,2,3,14,2,0,0,0,475,7
"5399",44,1,2,1,7,24,2,1,2,2086,999,29,1,9,1,19,26.4,2,3,4,2,2400,0,0,52500,6
"5400",63,2,4,1,7,24,1,2,2,1669,999,36,1,1,1,14,12,2,3,14,2,0,0,0,22000,6
"5401",56,1,3,3,7,24,1,2,2,0,997,37,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"5402",37,2,2,1,7,24,1,1,2,1065,5,16,1,1,1,12,19,2,2,6,2,1450,0,0,33000,9
"5403",43,1,2,1,7,24,1,1,1,2867,999,21,1,1,1,22,18,2,3,4,2,775,0,0,19000,6
"5404",45,2,1,1,7,24,1,2,2,2086,999,25,1,1,1,5,20,2,3,4,2,1900,0,0,42000,6
"5405",50,1,1,1,7,24,1,2,2,2086,999,31,1,1,1,2,30,2,3,4,2,2100,0,0,62500,6
"5406",23,1,6,1,7,24,1,2,1,1486,999,2,1,1,1,13,9.65,2,3,6,2,750,0,25,18500,8
"5407",21,2,6,2,7,24,1,2,2,782,999,0,1,1,2,17,12,2,3,6,2,225,0,0,9250,9
"5408",70,1,2,3,7,24,2,1,2,1344.26571978103,999,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"5409",53,2,2,1,7,24,2,1,2,1825,999,14,1,9,1,4,14.6,2,3,15,2,1000,0,325,24000,9
"5410",16,2,6,2,7,24,2,1,2,130,999,0,1,9,2,17,53.76,2,3,15,2,0,0,0,6750,5
"5411",60,2,1,3,7,24,1,1,2,0,997,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,175,6
"5412",60,1,1,3,7,24,1,1,2,0,75,30,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"5413",63,2,1,4,7,24,1,2,2,0,79,33,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"5414",67,1,1,3,7,24,1,2,2,0,32,21,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"5415",80,1,1,3,7,24,1,2,2,1344.26571978103,999,47,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"5416",75,2,1,3,7,24,1,2,2,1344.26571978103,999,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,250,4
"5417",67,1,1,3,7,24,1,2,2,0,997,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"5418",65,2,1,3,7,24,1,2,2,0,997,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,9
"5419",40,2,2,1,7,24,2,1,2,1929,999,9,1,1,1,5,9.56,2,3,6,2,975,0,0,24000,4
"5420",46,1,2,1,7,24,2,1,2,2086,999,27,1,1,1,17,12.25,2,3,13,1,1300,0,0,29000,9
"5421",21,1,6,1,7,24,2,1,2,1222,999,1,1,1,1,19,17,2,3,4,2,1050,475,300,27000,7
"5422",18,2,6,2,7,24,2,1,2,574,999,0,1,1,2,25,10,2,3,5,2,75,0,0,6000,7
"5423",43,1,2,1,7,24,1,1,1,2118,999,16,1,1,1,2,28.8,2,3,4,2,2300,0,0,60000,9
"5424",39,2,2,1,7,24,1,1,2,630,999,13,1,1,1,4,13,2,3,5,2,200,25,25,8250,9
"5425",41,1,2,1,7,24,1,1,2,1825,999,18,1,1,1,6,26.88,1,1,16,1,2300,1750,225,49000,9
"5426",68,2,1,4,7,24,1,2,2,0,71,35,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"5427",71,1,1,3,7,24,1,2,2,1344.26571978103,999,40,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"5428",75,1,1,3,7,24,1,2,2,1344.26571978103,999,50,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"5429",74,2,1,3,7,24,1,2,2,1344.26571978103,999,24,1,9,9,99,999.99,2,3,99,9,0,0,0,0,4
"5430",80,2,5,3,7,24,2,1,2,1344.26571978103,999,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"5431",49,2,6,4,7,24,2,1,2,0,997,0,1,9,9,99,999.99,2,3,99,9,0,0,0,0,5
"5432",53,2,3,1,7,24,2,1,2,2006,999,19.3311315269217,1,1,1,17,11,1,1,6,2,925,0,450,23000,5
"5433",51,1,1,4,7,24,2,1,2,0,997,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
"5434",60,1,6,1,7,24,1,2,2,2086,999,42,1,1,1,25,14.4,2,1,5,2,850,0,425,21000,4
"5435",66,1,6,3,7,24,1,2,2,0,93,40,1,9,9,99,999.99,2,3,99,9,0,0,0,0,5
"5436",59,1,6,1,7,24,1,2,2,1043,999,32,1,1,1,25,16.49,2,1,5,2,925,0,425,20000,5
"5437",54,1,6,1,7,24,1,2,1,782,999,19.3311315269217,1,2,2,99,12,2,3,13,2,0,0,0,0,4
"5438",64,1,1,1,7,24,1,2,2,1043,999,49,1,1,1,24,18.75,2,1,5,2,950,0,425,23000,3
"5439",65,2,1,4,7,24,1,2,2,0,344,15,1,9,9,99,999.99,2,3,99,9,0,0,0,0,6
"5440",61,1,1,3,7,24,1,2,2,0,997,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,225,75,3400,2
"5441",61,2,1,3,7,24,1,2,2,0,997,19.3311315269217,1,9,9,99,999.99,2,3,99,9,0,0,0,0,3
